"","gene_id","baseMean","logFC","lfcSE","P.Value","adj.P.Val","symbol","entrez"
"1","ENSG00000170345",3511.62985703997,8.33603950483136,0.211196127426208,0,0,"FOS","2353"
"2","ENSG00000162772",6371.21430863473,6.97096665512263,0.137590991108413,0,0,"ATF3","467"
"3","ENSG00000162231",9998.96508069343,4.44484819391723,0.0951996037127962,0,0,"NXF1","10482"
"4","ENSG00000173530",8427.70679697895,4.43621288279796,0.110655433208851,0,0,"TNFRSF10D","8793"
"5","ENSG00000148339",4366.78120933385,3.94826563677177,0.0947504422821531,0,0,"SLC25A25","114789"
"6","ENSG00000130821",4122.59910149464,4.09021743023305,0.113526278798313,9.52004448763872e-286,3.00428803918659e-282,"SLC6A8","6535"
"7","ENSG00000118515",1709.50322796478,4.51640455529302,0.128481908306497,3.98201627457838e-272,1.11699980964451e-268,"SGK1","6446"
"8","ENSG00000148926",3010.92268430863,5.31395031381952,0.155724209931294,2.01887918484968e-256,5.0968623900715e-253,"ADM","133"
"9","ENSG00000171617",5292.82344675158,3.48382635837224,0.104182914582109,1.60884758066469e-246,3.69245145649644e-243,"ENC1","8507"
"10","ENSG00000143924",3005.52176256793,-4.90002174800154,0.147883561670878,4.52502606913588e-242,9.51990067845037e-239,"EML4","27436"
"11","ENSG00000124225",7244.84000743679,-3.64998319121857,0.112227761760642,1.9136696659341e-233,3.71634649124402e-230,"PMEPA1","56937"
"12","ENSG00000161509",1488.91121113164,5.97785202705219,0.184198990844354,3.67942421907569e-232,6.63505313105605e-229,"GRIN2C","2905"
"13","ENSG00000269821",1869.96998390925,6.05871316689637,0.187038680080341,2.60774719315008e-231,4.38901237588446e-228,"KCNQ1OT1","10984"
"14","ENSG00000117616",2463.83559652582,4.23417609244812,0.131802950261607,6.45290643506359e-228,1.0181879741226e-224,"RSRP1","57035"
"15","ENSG00000099250",2297.08569220884,-3.6791749568946,0.114843450114642,1.25934371115719e-226,1.87019949011026e-223,"NRP1","8829"
"16","ENSG00000105976",3079.19175795374,-3.9515481996714,0.125003322932826,8.3649480755335e-221,1.17323043952733e-217,"MET","4233"
"17","ENSG00000197019",1537.61171486252,5.75399362323264,0.182166356309992,4.16206265088931e-220,5.53028598338693e-217,"SERTAD1","29950"
"18","ENSG00000172409",2602.02780790879,4.02853633469184,0.12816104434863,2.28262152167482e-218,2.88135314681012e-215,"CLP1","10978"
"19","ENSG00000198563",5694.33387378908,3.62173004534268,0.115936391762939,1.22410352679813e-215,1.47160560178789e-212,"DDX39B","7919"
"20","ENSG00000171223",2780.18333887451,3.71124297551809,0.119026400482636,7.22790425148509e-215,8.29434866968148e-212,"JUNB","3726"
"21","ENSG00000188042",2552.66956997498,-3.66019619475998,0.117639940346402,5.94751662009784e-214,6.52830454743435e-211,"ARL4C","10123"
"22","ENSG00000186594",1618.72729567573,4.92641057958358,0.158802046970231,1.3004627658507e-212,1.36797845777778e-209,"MIR22HG","84981"
"23","ENSG00000159388",3294.64490315375,3.62662172858657,0.119021972144795,2.50194228228218e-205,2.52656139433984e-202,"BTG2","7832"
"24","ENSG00000141682",8073.49475630407,5.49963679022004,0.180411179330692,2.88620589528272e-205,2.80250592431952e-202,"PMAIP1","5366"
"25","ENSG00000183779",796.706558357368,4.68656147284767,0.154734880243712,6.79472278525461e-203,6.35331746061251e-200,"ZNF703","80139"
"26","ENSG00000006016",1051.91281270891,4.54834899303735,0.151819320659688,1.25783952828426e-198,1.13412202610945e-195,"CRLF1","9244"
