Ensembl	CDDP-25-1	CDDP-25-2	CDDP-25-3	CDDP-50-1	CDDP-50-2	CDDP-50-3	CON-1	CON-2	CON-3	symbol																		
ENSG00000227232.5	215.4783245	178.1150368	265.2972494	244.9799368	233.1711472	207.083357	60.78212189	55.48280668	84.65658276	WASH7P																		
ENSG00000278267.1	9.576814421	8.995708928	8.455689223	1.502944398	4.791187957	6.421189363	4.240613155	0.840648586	4.031265846	MIR6859-1																		
ENSG00000268903.1	8.619132979	8.096138035	12.68353383	3.005888795	11.17943857	8.026486704	7.774457451	6.725188689	4.837519015	AL627309.6																		
ENSG00000269981.1	12.44985875	4.497854464	10.56961153	19.53827717	9.582375913	12.84237873	7.067688592	11.76908021	7.256278522	AL627309.7																		
ENSG00000279457.4	189.6209255	157.4249062	210.3352694	178.8503833	234.7682099	192.6356809	41.69936269	60.5266982	53.21270916	WASH9P																		
ENSG00000237094.11	0.957681442	1.799141786	5.284805764	3.005888795	3.194125304	1.605297341	1.413537718	3.362594344	4.837519015	AL732372.2																		
ENSG00000225630.1	282.5160254	217.6961561	375.2212093	216.4239933	146.929764	221.531033	79.86488109	96.6745874	120.9379754	MTND2P28																		
ENSG00000237973.1	2153.825563	1809.037065	2310.51708	2530.958366	2829.99502	3379.150902	520.1818804	747.3365931	503.9082307	MTCO1P12																		
ENSG00000248527.1	4187.940946	3212.367658	4932.8377	3031.43885	2991.298348	3550.917718	1963.403891	2549.687162	1949.520163	MTATP6P1																		
ENSG00000198744.5	9.576814421	8.995708928	5.284805764	6.011777591	1.597062652	3.210594682	4.947382014	7.565837275	1.612506338	MTCO3P12																		
ENSG00000228327.3	66.0800195	62.0703916	76.10120301	94.68549705	92.62963383	85.08075906	55.83473988	69.77383265	56.43772184	AL669831.1																		
ENSG00000237491.8	24.89971749	23.38884321	23.25314536	37.57360994	41.52362896	40.13243352	4.240613155	2.521945758	9.675038029	LINC01409																		
ENSG00000230092.7	1.915362884	3.598283571	12.68353383	6.011777591	4.791187957	3.210594682	1.413537718	1.681297172	0.806253169	AL669831.4																		
ENSG00000228794.8	149.398305	155.6257645	184.9682017	217.9269377	215.6034581	184.6091942	60.78212189	59.68604961	58.85648134	LINC01128																		
ENSG00000225880.5	27.77276182	49.4763991	51.79109649	109.714941	124.5708869	123.6078952	7.774457451	3.362594344	6.450025353	LINC00115																		
