Ensembl,CON-25-1,CON-25-2,CON-25-3,CDDP-25-1,CDDP-25-2,CDDP-25-3,CDDP-50-1,CDDP-50-2,CDDP-50-3,symbol
ENSG00000227232,60.78212189,55.48280668,84.65658276,215.4783245,178.1150368,265.2972494,244.9799368,233.1711472,207.083357,WASH7P
ENSG00000278267,4.240613155,0.840648586,4.031265846,9.576814421,8.995708928,8.455689223,1.502944398,4.791187957,6.421189363,MIR6859-1
ENSG00000268903,7.774457451,6.725188689,4.837519015,8.619132979,8.096138035,12.68353383,3.005888795,11.17943857,8.026486704,AL627309.6
ENSG00000269981,7.067688592,11.76908021,7.256278522,12.44985875,4.497854464,10.56961153,19.53827717,9.582375913,12.84237873,AL627309.7
ENSG00000279457,41.69936269,60.5266982,53.21270916,189.6209255,157.4249062,210.3352694,178.8503833,234.7682099,192.6356809,WASH9P
ENSG00000237094,1.413537718,3.362594344,4.837519015,0.957681442,1.799141786,5.284805764,3.005888795,3.194125304,1.605297341,AL732372.2
ENSG00000225630,79.86488109,96.6745874,120.9379754,282.5160254,217.6961561,375.2212093,216.4239933,146.929764,221.531033,MTND2P28
ENSG00000237973,520.1818804,747.3365931,503.9082307,2153.825563,1809.037065,2310.51708,2530.958366,2829.99502,3379.150902,MTCO1P12
ENSG00000248527,1963.403891,2549.687162,1949.520163,4187.940946,3212.367658,4932.8377,3031.43885,2991.298348,3550.917718,MTATP6P1
ENSG00000198744,4.947382014,7.565837275,1.612506338,9.576814421,8.995708928,5.284805764,6.011777591,1.597062652,3.210594682,MTCO3P12
ENSG00000228327,55.83473988,69.77383265,56.43772184,66.0800195,62.0703916,76.10120301,94.68549705,92.62963383,85.08075906,AL669831.1
ENSG00000237491,4.240613155,2.521945758,9.675038029,24.89971749,23.38884321,23.25314536,37.57360994,41.52362896,40.13243352,LINC01409
ENSG00000230092,1.413537718,1.681297172,0.806253169,1.915362884,3.598283571,12.68353383,6.011777591,4.791187957,3.210594682,AL669831.4
ENSG00000228794,60.78212189,59.68604961,58.85648134,149.398305,155.6257645,184.9682017,217.9269377,215.6034581,184.6091942,LINC01128
ENSG00000225880,7.774457451,3.362594344,6.450025353,27.77276182,49.4763991,51.79109649,109.714941,124.5708869,123.6078952,LINC00115
ENSG00000272438,5.654150874,2.521945758,3.225012676,4.78840721,6.29699625,5.284805764,4.508833193,14.37356387,8.026486704,AL645608.6
ENSG00000230699,21.90983464,7.565837275,16.93131655,21.06899173,22.48927232,26.42402882,7.514721988,23.95593978,24.07946011,AL645608.2
ENSG00000223764,55.83473988,64.72994113,77.40030423,39.26493913,32.38455214,29.59491228,28.55594356,36.732441,36.92183884,LINC02593
ENSG00000187634,110.255942,118.5314506,143.5130641,41.18030201,77.36309678,73.9872807,129.2532182,138.9444507,134.8449766,SAMD11
ENSG00000188976,1301.16147,1379.50433,1241.62988,2443.045359,2594.362455,2887.61787,3320.004174,3856.906305,3146.382788,NOC2L
ENSG00000187961,217.6848086,245.4693871,240.2634444,350.5114078,365.2257825,277.9807832,371.2272662,426.4157281,420.5879033,KLHL17
ENSG00000187583,54.42120216,67.25188689,37.89389895,89.06437411,104.3502236,113.0948434,106.7090522,191.6475183,94.71254311,PLEKHN1
ENSG00000187642,16.25568376,26.90075476,12.09379754,30.64580615,31.48498125,29.59491228,51.10010952,46.31481692,27.29005479,PERM1
ENSG00000272512,25.44367893,19.33491748,23.3813419,122.5832246,113.3459325,199.7656579,198.3886605,225.185834,234.3734118,AL645608.7
ENSG00000188290,198.6020494,226.1344697,135.4505324,312.2041501,310.351958,324.4870739,724.4191997,506.2688608,674.2248831,HES4
ENSG00000187608,89.05287626,80.70226427,95.94412712,2302.266187,2302.001915,2336.941109,1887.698163,2018.687192,1438.346417,ISG15
ENSG00000224969,3.533844296,1.681297172,1.612506338,22.02667317,18.89098875,39.10756266,21.04122157,30.34419039,33.71124416,AL645608.1
ENSG00000188157,12680.1401,12814.84705,12463.06149,7190.272267,7456.54313,6652.513496,9336.290598,9826.726499,10087.68849,AGRN
ENSG00000217801,78.45134337,71.45512982,101.5878993,242.2934048,287.8626857,247.3289098,148.7914954,202.8269568,223.1363304,AL390719.1
ENSG00000273443,13.42860833,15.13167455,23.3813419,48.84175355,46.77768643,58.13286341,48.09422072,51.10600487,36.92183884,AL645608.8
ENSG00000131591,282.7075437,321.1277599,260.4197736,132.160039,134.9356339,149.0315226,172.8386057,255.5300244,239.1893038,C1orf159
ENSG00000198976,4.240613155,0.840648586,7.256278522,21.06899173,22.48927232,24.31010652,9.017666386,15.97062652,19.26356809,MIR429
ENSG00000272141,20.49629692,22.69751183,8.86878486,64.16465662,72.86524232,98.29738722,69.13544229,76.65900731,51.3695149,AL390719.2
ENSG00000078808,2147.163794,2229.40005,2046.270543,3009.992772,2911.91098,3555.617318,4215.759035,3928.774125,3875.187781,SDF4
ENSG00000176022,420.5274712,454.7908851,441.0204835,601.4239456,551.4369573,460.8350626,511.0010952,485.5070463,444.6673634,B3GALT6
ENSG00000184163,7.067688592,5.043891517,11.28754437,15.32290307,21.58970143,29.59491228,37.57360994,52.70306752,59.39600161,C1QTNF12
ENSG00000160087,539.2646396,501.8672059,475.6893698,1222.959202,1110.070482,1332.828014,1247.44385,1293.620748,1173.472356,UBE2J2
ENSG00000230415,7.067688592,8.406485861,4.031265846,21.06899173,20.69013053,16.91137845,21.04122157,12.77650122,27.29005479,LINC01786
ENSG00000162572,60.07535303,52.96086093,63.69400036,132.160039,134.9356339,210.3352694,144.2826622,199.6328315,176.5827075,SCNN1D
ENSG00000131584,1221.296589,1303.005308,1004.591449,1717.122826,1820.731487,1893.017425,2538.473088,2408.37048,2287.548711,ACAP3
ENSG00000169972,173.8651394,205.118255,157.219368,158.0174379,188.9098875,195.5378133,220.9328265,198.0357689,174.9774101,PUSL1
ENSG00000127054,931.5213564,922.191499,965.8912966,1425.029986,1446.509996,1755.612475,1767.462612,2199.155272,2008.226973,INTS11
ENSG00000240731,14.13537718,14.29102596,16.12506338,62.24929374,57.57253714,103.582193,84.16488627,65.47956874,104.3443272,AL139287.1
ENSG00000224051,340.6625901,284.1392221,338.626331,242.2934048,261.7751298,260.0124436,148.7914954,261.918275,155.7138421,CPTP
ENSG00000169962,11.30830175,10.08778303,15.31881021,43.09566489,66.56824607,54.96197995,82.66194187,108.6002604,70.63308299,TAS1R3
ENSG00000107404,980.9951766,994.4872774,948.95998,687.6152754,686.3725912,656.3728759,647.7690354,784.1577623,597.1706108,DVL1
ENSG00000162576,88.3461074,84.9055072,132.2255197,76.61451537,90.85666017,108.8669987,117.229663,105.406135,150.89795,MXRA8
ENSG00000175756,1188.078452,1224.82499,1156.167045,983.538841,912.1648853,1136.233239,1514.967953,1545.956647,1377.345118,AURKAIP1
ENSG00000221978,1088.424043,1161.776346,1207.767247,4251.147921,4043.571163,5691.735808,5939.63626,7039.852171,7117.888409,CCNL2
ENSG00000224870,238.1811056,208.4808494,254.7760014,309.3311058,278.8669768,248.3858709,184.8621609,207.6181448,202.2674649,MRPL20-AS1
ENSG00000242485,473.5351357,488.4168285,478.1081293,350.5114078,325.6446632,357.2528697,359.203711,356.1449715,333.9018469,MRPL20
ENSG00000272455,31.09782981,31.10399769,24.99384824,38.30725768,45.87811553,66.58855263,76.65016428,76.65900731,134.8449766,MRPL20-DT
ENSG00000225285,12.72183947,13.45037738,25.80010141,25.85739894,26.98712678,30.65187343,12.02355518,17.56768917,11.23708139,LINC01770
ENSG00000179403,1494.816137,1447.596865,1644.756465,783.3834196,752.0412664,582.3855952,691.3544229,479.1187957,735.2261821,VWA1
ENSG00000215915,45.23320699,39.51048355,41.92516479,29.6881247,28.78626857,42.27844611,115.7267186,63.88250609,65.81719097,ATAD3C
ENSG00000160072,294.7226143,361.478892,266.869799,494.1636241,484.8687112,527.4236153,780.0281424,779.3665743,767.3321289,ATAD3B
ENSG00000197785,718.077161,856.6209093,533.7395979,361.0459037,418.3004652,452.3793734,668.810257,558.9719283,531.3534198,ATAD3A
ENSG00000205090,28.97752323,39.51048355,24.18759507,15.32290307,15.29270518,19.02530075,12.02355518,15.97062652,22.47416277,TMEM240
ENSG00000160075,1185.958146,1282.829742,1196.479703,562.1590065,564.9305207,435.467995,616.207203,504.6717981,531.3534198,SSU72
ENSG00000228594,156.1959179,200.0743635,145.9318236,30.64580615,31.48498125,50.73413534,45.08833193,52.70306752,38.52713618,FNDC10
ENSG00000272106,18.37599034,17.65362031,20.9625824,109.1756844,102.5510818,170.1707456,132.259107,210.8122701,126.8184899,AL691432.2
ENSG00000197530,362.5724248,357.2756491,409.5766099,1846.40982,1721.778689,2181.567819,1898.218774,2084.166761,1831.644266,MIB2
ENSG00000189409,2.120306578,3.362594344,3.225012676,7.661451537,7.196567142,8.455689223,6.011777591,12.77650122,22.47416277,MMP23B
