"","symbol"
"1","TNS3"
"2","PARD3"
"3","PLXNB3"
"4","TAP1"
"5","TRIO"
"6","GDF15"
"7","FARP1"
"8","DOCK1"
"9","ISG15"
"10","GALNT2"
"11","LRATD1"
"12","GRIN2C"
"13","INKA2"
"14","ACACA"
"15","FAM228B"
"16","MIR22HG"
"17","SERTAD1"
"18","ARHGAP26"
"19","BICC1"
"20","CMIP"
"21","BTG2"
"22","PLK3"
"23","TP53INP1"
"24","ABCC4"
"25","RASAL2"
"26","ERGIC1"
"27","LOXL2"
"28","ANO6"
"29","SLC25A45"
"30","MATN2"
"31","APOL2"
"32","SND1"
"33","RETSAT"
"34","AKT3"
"35","ISCU"
"36","PBX1"
"37","UTRN"
"38","FDXR"
"39","AGAP1"
"40","ZMIZ1"
"41","CDKN1A"
"42","TP53I3"
"43","NUP210"
"44","CAMK1D"
"45","CADM1"
"46","CRIM1"
"47","SESN1"
"48","VAV2"
"49","ITGB5"
"50","TNC"
"51","GLS2"
"52","ACHE"
"53","FNDC3B"
"54","TSPAN9"
"55","MYO1E"
"56","SVIL"
"57","SNTB1"
"58","CDH1"
"59","LIMCH1"
"60","NXF1"
"61","ANLN"
"62","PMAIP1"
"63","TCF12"
"64","APP"
"65","TBC1D16"
"66","MAP3K20"
"67","MAP4"
"68","LRP5"
"69","RBPMS"
"70","EXT1"
"71","SFN"
"72","ASAP1"
"73","PARP10"
"74","KIF11"
"75","SRGAP2"
"76","MCM6"
"77","P3H2"
"78","LSS"
"79","NAV1"
"80","PSMB8-AS1"
"81","TNFRSF10D"
"82","NEO1"
"83","PIDD1"
"84","PRKAB2"
"85","CERS6"
"86","PLXDC2"
"87","ZNF704"
"88","NCOR2"
"89","YPEL3"
"90","ZNF385A"
"91","EXOC4"
"92","CDK14"
"93","COL18A1"
"94","EPB41L2"
"95","NKX3-1"
"96","PTPRM"
"97","CDC42BPA"
"98","GLIS3"
"99","FMNL2"
"100","PRR11"
"101","ATP11A"
"102","LACC1"
"103","PHLDB3"
"104","MAPKAP1"
"105","BLCAP"
"106","CLP1"
"107","ZNF468"
"108","ATAD2"
"109","DCDC2"
"110","MICU1"
"111","IQGAP2"
"112","TRIM26"
"113","COL4A2"
"114","NID1"
"115","CTIF"
"116","STIM1"
"117","BTBD11"
"118","SPIDR"
"119","HMOX1"
"120","ATP10A"
"121","STAU2"
"122","HELZ2"
"123","UACA"
"124","IRGQ"
"125","ZNFX1"
"126","HAVCR1"
"127","SPRYD4"
"128","PPP1R15A"
"129","ABR"
"130","MSI2"
"131","CTNNA1"
"132","COL13A1"
"133","MYH10"
"134","ATF6"
"135","CEACAM1"
"136","AFAP1"
"137","LMNB1"
"138","GNAQ"
"139","AP2B1"
"140","TACC2"
"141","STAG1"
"142","ACTN4"
"143","PAM"
"144","SLC6A8"
"145","ENC1"
"146","CAPZB"
"147","LRRC20"
"148","BAK1"
"149","CD24"
"150","CENPF"
"151","LARGE1"
"152","FN1"
"153","PKP4"
"154","KCTD11"
"155","ITGB1"
"156","ABHD4"
"157","CARMIL1"
"158","PLEKHA7"
"159","TBL1X"
"160","SLC44A1"
"161","BRCA1"
"162","ANKRA2"
"163","AK1"
"164","NSD2"
"165","NRG1"
"166","MROH6"
"167","SLC22A3"
"168","S1PR3"
"169","STK24"
"170","RXRA"
"171","CAP2"
"172","KLHDC7A"
"173","PRKAB1"
"174","DAPK1"
"175","DTL"
"176","ARL4C"
"177","EHBP1"
"178","SLC12A4"
"179","ADM"
"180","SMARCC1"
"181","PKHD1"
"182","TPM1"
"183","SORT1"
"184","LRIG1"
"185","H1-2"
"186","DIP2C"
"187","ERC1"
"188","CES2"
"189","FRMD5"
"190","GALNT10"
"191","HIC2"
"192","PLCXD2"
"193","ARC"
"194","EHMT1"
"195","PTK2"
"196","TTLL5"
"197","KIF13B"
"198","RNF157"
"199","RND1"
"200","DOCK9"
"201","ANKRD11"
"202","ZFAND3"
"203","PACS1"
"204","DDX39B"
"205","TIGAR"
"206","INPP1"
"207","NATD1"
"208","AURKA"
"209","SMTN"
"210","IGF1R"
"211","XPC"
"212","SAPCD2"
"213","LBR"
"214","CLIC4"
"215","MCM3"
"216","GPC6"
"217","MYLK"
"218","HMGCS1"
"219","SLFN5"
"220","MAGI1"
"221","SLC4A11"
"222","FAF1"
"223","UGCG"
"224","ARFGAP1"
"225","NOPCHAP1"
"226","ITPK1"
"227","SGPP2"
"228","ANTXR2"
"229","PROCR"
"230","CLMN"
"231","OSGIN1"
"232","TENT5C"
"233","NEU3"
"234","TNFRSF14"
"235","ELOVL5"
"236","COL4A1"
"237","STK3"
"238","CDK6"
"239","SIPA1L3"
"240","TBC1D22A"
"241","GULP1"
"242","POLR2A"
"243","ARVCF"
"244","SPNS2"
"245","NCAPD2"
"246","NME2"
"247","TERF2IP"
"248","NF1"
"249","TESC"
"250","SDC2"
"251","SLC30A1"
"252","PPM1H"
"253","TRIM3"
"254","AP3B1"
"255","OSBPL10"
"256","TOP2A"
"257","TUBB"
"258","TUBA4A"
"259","CSRNP2"
"260","CHCHD3"
"261","STK39"
"262","APBA2"
"263","GALNT7"
"264","MYH9"
"265","RASA1"
"266","SLC25A25"
"267","ALDH1A1"
"268","ACER2"
"269","PAPSS2"
"270","MXD1"
"271","HSPA6"
"272","IMPA2"
"273","LOC101927741"
"274","MYOF"
"275","AGPAT3"
"276","FTO"
"277","TNFRSF10A"
"278","SH3KBP1"
"279","DPYSL2"
"280","EXOC6B"
"281","FAS"
"282","NFIX"
"283","ARRDC2"
"284","TRIM35"
"285","FAM53C"
"286","DHCR24"
"287","TRAK1"
"288","PHKB"
"289","ZNF600"
"290","NRP1"
"291","DUSP14"
"292","ARNT2"
"293","SLC19A1"
"294","BCR"
"295","TMBIM1"
"296","SP6"
"297","ADCY9"
"298","ARNTL2"
"299","MED13L"
"300","SLC20A2"
"301","PELO"
"302","ELOVL6"
"303","ABCC1"
"304","CEP170B"
"305","DENND1A"
"306","CERS6-AS1"
"307","TPCN1"
"308","RRM2B"
"309","PMEPA1"
"310","GABRE"
"311","FAM83H"
"312","OSR1"
"313","PSD3"
"314","CLSTN1"
"315","GALNT18"
"316","THBS1"
"317","ARID1B"
"318","SBF2"
"319","IRF7"
"320","H2BC21"
"321","TP53I11"
"322","PNP"
"323","RALGAPA2"
"324","SGK1"
"325","UHRF1"
"326","COL7A1"
"327","TEAD1"
"328","CLASP1"
"329","KLHL21"
"330","KBTBD6"
"331","SMC2"
"332","CRY2"
"333","BAHCC1"
"334","MTHFD1"
"335","OLA1"
"336","OSBPL8"
"337","BMPR2"
"338","ADGRG6"
"339","ADAM9"
"340","SLC3A2"
"341","LRATD2"
"342","MPRIP"
"343","GABARAPL1"
"344","DNAJB2"
"345","TRIAP1"
"346","FCHSD2"
"347","ZNF79"
"348","IPO11"
"349","MYBL2"
"350","SRGAP1"
"351","C1orf21"
"352","IRF1"
"353","EFNA5"
"354","EML1"
"355","VAC14"
"356","INPP5A"
"357","NCAM1"
"358","PLD6"
"359","BABAM2"
"360","COPG2"
"361","CDK5RAP2"
"362","BLOC1S2"
"363","HSPB8"
"364","NNAT"
"365","GRB14"
"366","ELMOD3"
"367","UGGT1"
"368","MRPL49"
"369","DNM2"
"370","PIGN"
"371","PEG10"
"372","BBX"
"373","MYO9B"
"374","PTPRJ"
"375","EPN3"
"376","ZNF618"
"377","PRTFDC1"
"378","MAGI3"
"379","CHST2"
"380","TRIM21"
"381","ADAMTSL3"
"382","ADK"
"383","C5"
"384","RASA3"
"385","VCL"
"386","TBC1D4"
"387","CLEC16A"
"388","MEX3B"
"389","NRP2"
"390","PITPNM2"
"391","SEMA3B"
"392","ST6GAL1"
"393","IGSF3"
"394","TFDP2"
"395","PURPL"
"396","RHBDL1"
"397","FLYWCH1"
"398","ZNF746"
"399","FKBP5"
"400","PBX3"
"401","MET"
"402","NXN"
"403","BUB1B"
"404","RAI1"
"405","TAF13"
"406","NUCKS1"
"407","CD99L2"
"408","EAF1"
"409","ARRDC4"
"410","ATP6V1B2"
"411","RALGPS2"
"412","MBP"
"413","MSH2"
"414","ARHGAP18"
"415","EI24"
"416","MAMDC4"
"417","PHLPP1"
"418","EFNB1"
"419","CTBP2"
"420","ZNF609"
"421","ARHGAP11A"
"422","WWC2"
"423","SHMT1"
"424","GALNT1"
"425","ZNF337"
"426","ATF3"
"427","RNF6"
"428","ADD3"
"429","PLCB4"
"430","SHC1"
"431","HIP1"
"432","FRMD4A"
"433","RSRC1"
"434","GNB1"
"435","BRD2"
"436","PRIM2"
"437","SRA1"
"438","PCAT1"
"439","BRIP1"
"440","ME1"
"441","BTBD19"
"442","DIAPH2"
"443","SEMA3C"
"444","ZNF337-AS1"
"445","CD109"
"446","ASAP2"
"447","BCAS3"
"448","ADAM10"
"449","EIPR1"
"450","CRLF1"
"451","MYO9A"
"452","PDE5A"
"453","AOC2"
"454","HES6"
"455","PTK7"
"456","ROBO1"
"457","CPPED1"
"458","NIBAN1"
"459","ACTN1"
"460","PIP4K2A"
"461","NPAS2"
"462","GINS2"
"463","CHST11"
"464","SLC25A13"
"465","TIAM1"
"466","SOCS4"
"467","TMEM123"
"468","EXOC6"
"469","ETV3"
"470","FANCC"
"471","DIP2B"
"472","APOBEC3C"
"473","RBL1"
"474","FLCN"
"475","VPS13B"
"476","SUCLG2"
"477","BBC3"
"478","DYM"
"479","LRCH1"
"480","C9orf78"
"481","TTC7B"
"482","HIPK2"
"483","MOSPD1"
"484","OTUD3"
"485","EPB41"
"486","SMG8"
"487","GTF2IRD1"
"488","ASPH"
"489","ZNF28"
"490","GRB10"
"491","TMPO"
"492","NTN4"
"493","APBB2"
"494","PEAK1"
"495","PSME2"
"496","MELK"
"497","NCOA2"
"498","IER5"
"499","WWP2"
"500","RIOK3"
"501","AVPI1"
"502","PRODH"
"503","PTPRA"
"504","SEMA3A"
"505","SPOCK1"
"506","MGMT"
"507","TRAF4"
"508","EPHB2"
"509","ECT2"
"510","RIT1"
"511","PARN"
"512","TGFBR3"
"513","INSIG1"
"514","CCNK"
"515","NIPAL1"
"516","NCAPH"
"517","PLEKHA6"
"518","PTPN9"
"519","MVK"
"520","SBDS"
"521","PHLDA2"
"522","APLP1"
"523","ANO10"
"524","MSX1"
"525","ZNF275"
"526","SCN9A"
"527","ATRN"
"528","ACSS2"
"529","ANXA11"
"530","LGR4"
"531","PIM2"
"532","AEN"
"533","ITPKC"
"534","BACE2"
"535","MIB2"
"536","EMP1"
"537","DUSP8"
"538","ATXN10"
"539","SMCO4"
"540","RNF166"
"541","CLVS1"
"542","TGFB2"
"543","CMSS1"
"544","IFI6"
"545","DCAF6"
"546","EIF4G3"
"547","SMAD3"
"548","KCNQ1OT1"
"549","IRX5"
"550","IGF2BP2"
"551","HS2ST1"
"552","NCK2"
"553","LPIN3"
"554","LDLRAD3"
"555","PCCA"
"556","TMEM135"
"557","RNF130"
"558","SSBP2"
"559","SLC2A13"
"560","MYO18A"
"561","DEPDC1B"
"562","CDCA7L"
"563","GDA"
"564","CABIN1"
"565","MAMLD1"
"566","CTNNAL1"
"567","TPX2"
"568","DDAH1"
"569","TXLNA"
"570","RSRP1"
"571","AK7"
"572","SCD5"
"573","RAPGEF1"
"574","NAV2"
"575","SESN2"
"576","PGBD5"
"577","TRABD2B"
"578","SORL1"
"579","DIS3L2"
"580","ZNF621"
"581","ZNF761"
"582","TPM4"
"583","GPD2"
"584","ZNF121"
"585","PTPN13"
"586","CAMK2D"
"587","UBASH3B"
"588","ITPR1"
"589","NT5E"
"590","MTSS1"
"591","R3HDM1"
"592","FOXN3"
"593","BUB1"
"594","PHF20"
"595","LRBA"
"596","FAM210B"
"597","MAST2"
"598","THADA"
"599","BAG1"
"600","PTPRF"
"601","KBTBD8"
"602","DNAJC1"
"603","EFR3B"
"604","NEK6"
"605","PLCH1"
"606","HBEGF"
"607","RAPGEF5"
"608","TMEM63B"
"609","ZBTB7B"
"610","MYO10"
"611","DNMT1"
"612","GPC4"
"613","PDE3B"
"614","LDLR"
"615","EPM2AIP1"
"616","SYT8"
"617","ZHX2"
"618","PSMC4"
"619","TCTN2"
"620","DLGAP5"
"621","HES2"
"622","CITED4"
"623","MICAL2"
"624","IPO13"
"625","NDRG3"
"626","TRAPPC14"
"627","PDS5B"
"628","ARHGAP35"
"629","ATRX"
"630","PHLDA3"
"631","DOHH"
"632","ZNF503"
"633","TRERF1"
"634","NR1D1"
"635","SLC25A15"
"636","FAT3"
"637","RPTOR"
"638","OGFR"
"639","FBXO44"
"640","TLN2"
"641","FSCN1"
"642","DTNA"
"643","HDAC4"
"644","CCN3"
"645","FAM171A1"
"646","POLH"
"647","CNTNAP3B"
"648","ATP9A"
"649","SDC4"
"650","RNGTT"
"651","ALCAM"
"652","GRHL3"
"653","IRF5"
"654","PLEKHA5"
"655","ZBTB43"
"656","PTPRK"
"657","PARVA"
"658","CCNY"
"659","KIF14"
"660","MBD6"
"661","ZNF622"
"662","ADRB2"
"663","PARPBP"
"664","WNK1"
"665","CHD6"
"666","GJB3"
"667","AIFM2"
"668","ITGAV"
"669","SORBS2"
"670","RALGDS"
"671","MTA2"
"672","GSK3B"
"673","TFDP1"
"674","GINS1"
"675","DHRSX"
"676","INPP4B"
"677","MGLL"
"678","SLC16A7"
"679","HPCAL1"
"680","ANXA2"
"681","SMIM3"
"682","NBAS"
"683","MIPEP"
"684","RSU1"
"685","LCAT"
"686","CYB5R1"
"687","SPATS2L"
"688","AOC3"
"689","COG1"
"690","RPS6KA3"
"691","PHYHIP"
"692","NFIC"
"693","TMEM68"
"694","HNRNPA2B1"
"695","MAP1S"
"696","EMP2"
"697","MICAL3"
"698","RIN1"
"699","LIMK1"
"700","LPCAT1"
