sample_id,condition,CDDP_concentration,CDDP_time
S.CON.1,CON_6H,0,6
S.CON.2,CON_6H,0,6
S.CON.3,CON_6H,0,6
S.CDDP25.1,CDDP25_6H,25,6
S.CDDP25.2,CDDP25_6H,25,6
S.CDDP25.3,CDDP25_6H,25,6
S.CDDP50.1,CDDP50_6H,50,6
S.CDDP50.2,CDDP50_6H,50,6
S.CDDP50.3,CDDP50_6H,50,6
S.CDDP100.1,CDDP100_6H,100,6
S.CDDP100.2,CDDP100_6H,100,6
S.CDDP100.3,CDDP100_6H,100,6
L.CON.1,CON_20H,0,20
L.CON.2,CON_20H,0,20
L.CON.3,CON_20H,0,20
L.CDDP25.1,CDDP25_20H,25,20
L.CDDP25.2,CDDP25_20H,25,20
L.CDDP25.3,CDDP25_20H,25,20
L.CDDP50.1,CDDP50_20H,50,20
L.CDDP50.2,CDDP50_20H,50,20
L.CDDP50.3,CDDP50_20H,50,20
